"","artists_raw","names","artist_url"
"194","/chris-adwar","chris adwar","http://www.kenyans.co.ke/chris-adwar"
"195","/christ-cycoz","christ cycoz","http://www.kenyans.co.ke/christ-cycoz"
"196","/christian-longomba","christian longomba","http://www.kenyans.co.ke/christian-longomba"
"197","/christine-apondi","christine apondi","http://www.kenyans.co.ke/christine-apondi"
"198","/christine-mwende","christine mwende","http://www.kenyans.co.ke/christine-mwende"
"199","/christine-ndela","christine ndela","http://www.kenyans.co.ke/christine-ndela"
"200","/christine-otieno","christine otieno","http://www.kenyans.co.ke/christine-otieno"
"201","/christine-sayo","christine sayo","http://www.kenyans.co.ke/christine-sayo"
"202","/chuchu","chuchu","http://www.kenyans.co.ke/chuchu"
"203","/churchill-king","churchill king","http://www.kenyans.co.ke/churchill-king"
"204","/cj","cj","http://www.kenyans.co.ke/cj"
"205","/clinton-andambi","clinton andambi","http://www.kenyans.co.ke/clinton-andambi"
"206","/cliq","cliq","http://www.kenyans.co.ke/cliq"
"207","/coast-all-stars","coast all stars","http://www.kenyans.co.ke/coast-all-stars"
"208","/collela","collela","http://www.kenyans.co.ke/collela"
"209","/collo","collo","http://www.kenyans.co.ke/collo"
"210","/colonel-mustafa","colonel mustafa","http://www.kenyans.co.ke/colonel-mustafa"
"211","/conz","conz","http://www.kenyans.co.ke/conz"
"212","/coola-gang","coola gang","http://www.kenyans.co.ke/coola-gang"
"213","/coolkid-taffie","coolkid taffie","http://www.kenyans.co.ke/coolkid-taffie"
"214","/crakx-masters","crakx masters","http://www.kenyans.co.ke/crakx-masters"
"215","/crew-teflon","crew teflon","http://www.kenyans.co.ke/crew-teflon"
"216","/csy","csy","http://www.kenyans.co.ke/csy"
"217","/cutta-c","cutta c","http://www.kenyans.co.ke/cutta-c"
"218","/cyplez","cyplez","http://www.kenyans.co.ke/cyplez"
"219","/cypreezy","cypreezy","http://www.kenyans.co.ke/cypreezy"
"220","/cyrus-lagat","cyrus lagat","http://www.kenyans.co.ke/cyrus-lagat"
"221","/czars","czars","http://www.kenyans.co.ke/czars"
"222","/d-major","d major","http://www.kenyans.co.ke/d-major"
"223","/d-zawadi","d zawadi","http://www.kenyans.co.ke/d-zawadi"
"224","/daddy-owen","daddy owen","http://www.kenyans.co.ke/daddy-owen"
"225","/dafari","dafari","http://www.kenyans.co.ke/dafari"
"226","/dainare","dainare","http://www.kenyans.co.ke/dainare"
"227","/daisy","daisy","http://www.kenyans.co.ke/daisy"
"228","/dan","dan","http://www.kenyans.co.ke/dan"
"229","/dan-dan","dan dan","http://www.kenyans.co.ke/dan-dan"
"230","/dan-em","dan em","http://www.kenyans.co.ke/dan-em"
"231","/dan-gee","dan gee","http://www.kenyans.co.ke/dan-gee"
"232","/dandy-boy","dandy boy","http://www.kenyans.co.ke/dandy-boy"
"233","/danny","danny","http://www.kenyans.co.ke/danny"
"234","/danny-gift","danny gift","http://www.kenyans.co.ke/danny-gift"
"235","/das","das","http://www.kenyans.co.ke/das"
"236","/das-p-pid","das p pid","http://www.kenyans.co.ke/das-p-pid"
"237","/dashley","dashley","http://www.kenyans.co.ke/dashley"
"238","/david-keen","david keen","http://www.kenyans.co.ke/david-keen"
"239","/davie-noty","davie noty","http://www.kenyans.co.ke/davie-noty"
"240","/davinci","davinci","http://www.kenyans.co.ke/davinci"
"241","/dawn","dawn","http://www.kenyans.co.ke/dawn"
"242","/dazlah","dazlah","http://www.kenyans.co.ke/dazlah"
"243","/debbie-asila","debbie asila","http://www.kenyans.co.ke/debbie-asila"
"244","/deborah-nilsson","deborah nilsson","http://www.kenyans.co.ke/deborah-nilsson"
"245","/debrah","debrah","http://www.kenyans.co.ke/debrah"
"246","/dee","dee","http://www.kenyans.co.ke/dee"
"247","/dee-brown-wizy","dee brown wizy","http://www.kenyans.co.ke/dee-brown-wizy"
"248","/deebouwy","deebouwy","http://www.kenyans.co.ke/deebouwy"
"249","/deejay-lapoze","deejay lapoze","http://www.kenyans.co.ke/deejay-lapoze"
"250","/dela","dela","http://www.kenyans.co.ke/dela"
"251","/deliah-ipupa","deliah ipupa","http://www.kenyans.co.ke/deliah-ipupa"
"252","/delvin","delvin","http://www.kenyans.co.ke/delvin"
"253","/denno","denno","http://www.kenyans.co.ke/denno"
"254","/denno-b","denno b","http://www.kenyans.co.ke/denno-b"
"255","/denny-c","denny c","http://www.kenyans.co.ke/denny-c"
"256","/dez-32","dez 32","http://www.kenyans.co.ke/dez-32"
"257","/dianna-chemutai","dianna chemutai","http://www.kenyans.co.ke/dianna-chemutai"
"258","/dida","dida","http://www.kenyans.co.ke/dida"
"259","/diddi-kimer","diddi kimer","http://www.kenyans.co.ke/diddi-kimer"
"260","/didge","didge","http://www.kenyans.co.ke/didge"
"261","/didi","didi","http://www.kenyans.co.ke/didi"
"262","/dineto-tpk","dineto tpk","http://www.kenyans.co.ke/dineto-tpk"
"263","/dj-laumyx","dj laumyx","http://www.kenyans.co.ke/dj-laumyx"
"264","/dj-nruff","dj nruff","http://www.kenyans.co.ke/dj-nruff"
"265","/dj-pierra-makena","dj pierra makena","http://www.kenyans.co.ke/dj-pierra-makena"
"266","/dj-ruff","dj ruff","http://www.kenyans.co.ke/dj-ruff"
"267","/dj-sadic","dj sadic","http://www.kenyans.co.ke/dj-sadic"
"268","/dj-tabz","dj tabz","http://www.kenyans.co.ke/dj-tabz"
"269","/dk-kwenye-beat","dk kwenye beat","http://www.kenyans.co.ke/dk-kwenye-beat"
"270","/dna","dna","http://www.kenyans.co.ke/dna"
"271","/dng","dng","http://www.kenyans.co.ke/dng"
"272","/dogo-richie","dogo richie","http://www.kenyans.co.ke/dogo-richie"
"273","/dohr","dohr","http://www.kenyans.co.ke/dohr"
"274","/dola-kabarry","dola kabarry","http://www.kenyans.co.ke/dola-kabarry"
"275","/dola-man","dola man","http://www.kenyans.co.ke/dola-man"
"276","/dom","dom","http://www.kenyans.co.ke/dom"
"277","/domidee","domidee","http://www.kenyans.co.ke/domidee"
"278","/dominion-pid","dominion pid","http://www.kenyans.co.ke/dominion-pid"
"279","/don-slim","don slim","http://www.kenyans.co.ke/don-slim"
"280","/donatah","donatah","http://www.kenyans.co.ke/donatah"
"281","/dora","dora","http://www.kenyans.co.ke/dora"
"282","/doreen-wachira","doreen wachira","http://www.kenyans.co.ke/doreen-wachira"
"283","/dorothy-awuor-ochieng","dorothy awuor ochieng","http://www.kenyans.co.ke/dorothy-awuor-ochieng"
"284","/double-l","double l","http://www.kenyans.co.ke/double-l"
"285","/dr-eddie","dr eddie","http://www.kenyans.co.ke/dr-eddie"
"286","/dr-priscilla-gitonga","dr priscilla gitonga","http://www.kenyans.co.ke/dr-priscilla-gitonga"
"287","/drill","drill","http://www.kenyans.co.ke/drill"
"288","/duex-vultures","duex vultures","http://www.kenyans.co.ke/duex-vultures"
"289","/dufla","dufla","http://www.kenyans.co.ke/dufla"
"290","/dunco","dunco","http://www.kenyans.co.ke/dunco"
"291","/duxx-mob","duxx mob","http://www.kenyans.co.ke/duxx-mob"
"292","/dyra","dyra","http://www.kenyans.co.ke/dyra"
"293","/e-wanjiru","e wanjiru","http://www.kenyans.co.ke/e-wanjiru"
"294","/e-m-cee","e m cee","http://www.kenyans.co.ke/e-m-cee"
"295","/e-major","e major","http://www.kenyans.co.ke/e-major"
"296","/e-sir","e sir","http://www.kenyans.co.ke/e-sir"
"297","/eabc","eabc","http://www.kenyans.co.ke/eabc"
"298","/eazy-life-city-crew","eazy life city crew","http://www.kenyans.co.ke/eazy-life-city-crew"
"299","/eddah-nkoyo","eddah nkoyo","http://www.kenyans.co.ke/eddah-nkoyo"
"300","/eddie","eddie","http://www.kenyans.co.ke/eddie"
"301","/edel-kwenyu","edel kwenyu","http://www.kenyans.co.ke/edel-kwenyu"
"302","/edna-lotole","edna lotole","http://www.kenyans.co.ke/edna-lotole"
"303","/edu-dontez","edu dontez","http://www.kenyans.co.ke/edu-dontez"
"304","/edu-fanana","edu fanana","http://www.kenyans.co.ke/edu-fanana"
"305","/edu-g","edu g","http://www.kenyans.co.ke/edu-g"
"306","/edward","edward","http://www.kenyans.co.ke/edward"
"307","/edwin-wachori","edwin wachori","http://www.kenyans.co.ke/edwin-wachori"
"308","/eeuther","eeuther","http://www.kenyans.co.ke/eeuther"
"309","/eko-dydda","eko dydda","http://www.kenyans.co.ke/eko-dydda"
"310","/elani","elani","http://www.kenyans.co.ke/elani"
"311","/ele-wakelele","ele wakelele","http://www.kenyans.co.ke/ele-wakelele"
"312","/eleanor-atieno","eleanor atieno","http://www.kenyans.co.ke/eleanor-atieno"
"313","/elee-elee","elee elee","http://www.kenyans.co.ke/elee-elee"
"314","/elijah-miller","elijah miller","http://www.kenyans.co.ke/elijah-miller"
"315","/elizabeth-clipper","elizabeth clipper","http://www.kenyans.co.ke/elizabeth-clipper"
"316","/elizabeth-nyambere","elizabeth nyambere","http://www.kenyans.co.ke/elizabeth-nyambere"
"317","/elquiza-quartz","elquiza quartz","http://www.kenyans.co.ke/elquiza-quartz"
"318","/elsie","elsie","http://www.kenyans.co.ke/elsie"
"319","/elsie-gach","elsie gach","http://www.kenyans.co.ke/elsie-gach"
"320","/em-nash","em nash","http://www.kenyans.co.ke/em-nash"
"321","/emachichi","emachichi","http://www.kenyans.co.ke/emachichi"
"322","/emily-nyaimbo","emily nyaimbo","http://www.kenyans.co.ke/emily-nyaimbo"
"323","/emlend","emlend","http://www.kenyans.co.ke/emlend"
"324","/emma","emma","http://www.kenyans.co.ke/emma"
"325","/emma-omonge","emma omonge","http://www.kenyans.co.ke/emma-omonge"
"326","/emmanuel","emmanuel","http://www.kenyans.co.ke/emmanuel"
"327","/emmanuel-njue","emmanuel njue","http://www.kenyans.co.ke/emmanuel-njue"
"328","/emmie-frank","emmie frank","http://www.kenyans.co.ke/emmie-frank"
"329","/emmy-kosgei","emmy kosgei","http://www.kenyans.co.ke/emmy-kosgei"
"330","/empress","empress","http://www.kenyans.co.ke/empress"
"331","/enid-moraa","enid moraa","http://www.kenyans.co.ke/enid-moraa"
"332","/enika","enika","http://www.kenyans.co.ke/enika"
"333","/epha-maina","epha maina","http://www.kenyans.co.ke/epha-maina"
"334","/ephantus-safari","ephantus safari","http://www.kenyans.co.ke/ephantus-safari"
"335","/ephy-young","ephy young","http://www.kenyans.co.ke/ephy-young"
"336","/erenah","erenah","http://www.kenyans.co.ke/erenah"
"337","/eric-omba","eric omba","http://www.kenyans.co.ke/eric-omba"
"338","/eric-omondi","eric omondi","http://www.kenyans.co.ke/eric-omondi"
"339","/eric-wainaina","eric wainaina","http://www.kenyans.co.ke/eric-wainaina"
"340","/esther-liana","esther liana","http://www.kenyans.co.ke/esther-liana"
"341","/esther-mpaka","esther mpaka","http://www.kenyans.co.ke/esther-mpaka"
"342","/esther-ndungu","esther ndungu","http://www.kenyans.co.ke/esther-ndungu"
"343","/esther-nyambura","esther nyambura","http://www.kenyans.co.ke/esther-nyambura"
"344","/esther-wahome","esther wahome","http://www.kenyans.co.ke/esther-wahome"
"345","/esther-wanjiku","esther wanjiku","http://www.kenyans.co.ke/esther-wanjiku"
"346","/eunice-ndisya","eunice ndisya","http://www.kenyans.co.ke/eunice-ndisya"
"347","/eunice-njeri","eunice njeri","http://www.kenyans.co.ke/eunice-njeri"
"348","/eunice-wambui","eunice wambui","http://www.kenyans.co.ke/eunice-wambui"
"349","/ev-anastasia-karanja","ev anastasia karanja","http://www.kenyans.co.ke/ev-anastasia-karanja"
"350","/ev-charity-maina","ev charity maina","http://www.kenyans.co.ke/ev-charity-maina"
"351","/ev-john-kay","ev john kay","http://www.kenyans.co.ke/ev-john-kay"
"352","/eva-gichana","eva gichana","http://www.kenyans.co.ke/eva-gichana"
"353","/evaline-amuthoka","evaline amuthoka","http://www.kenyans.co.ke/evaline-amuthoka"
"354","/evanso","evanso","http://www.kenyans.co.ke/evanso"
"355","/evelyn-muyonga","evelyn muyonga","http://www.kenyans.co.ke/evelyn-muyonga"
"356","/evelyn-ndege","evelyn ndege","http://www.kenyans.co.ke/evelyn-ndege"
"357","/evelyn-wanjiru","evelyn wanjiru","http://www.kenyans.co.ke/evelyn-wanjiru"
"358","/everlast-kenya","everlast kenya","http://www.kenyans.co.ke/everlast-kenya"
"359","/eyearno-piano","eyearno piano","http://www.kenyans.co.ke/eyearno-piano"
"360","/eysha","eysha","http://www.kenyans.co.ke/eysha"
"361","/faith-kithele","faith kithele","http://www.kenyans.co.ke/faith-kithele"
"362","/faith-mbugua","faith mbugua","http://www.kenyans.co.ke/faith-mbugua"
"363","/faith-muturi","faith muturi","http://www.kenyans.co.ke/faith-muturi"
"364","/faith-mwikali","faith mwikali","http://www.kenyans.co.ke/faith-mwikali"
"365","/faith-nancy","faith nancy","http://www.kenyans.co.ke/faith-nancy"
"366","/faith-nduhio","faith nduhio","http://www.kenyans.co.ke/faith-nduhio"
"367","/falenzy-usher","falenzy usher","http://www.kenyans.co.ke/falenzy-usher"
"368","/fatha-lody-vkp","fatha lody vkp","http://www.kenyans.co.ke/fatha-lody-vkp"
"369","/feeloh","feeloh","http://www.kenyans.co.ke/feeloh"
"370","/femi-one","femi one","http://www.kenyans.co.ke/femi-one"
"371","/fena-gitu","fena gitu","http://www.kenyans.co.ke/fena-gitu"
"372","/fenny-kerubo","fenny kerubo","http://www.kenyans.co.ke/fenny-kerubo"
"373","/fidel-atondola","fidel atondola","http://www.kenyans.co.ke/fidel-atondola"
"374","/fidempa","fidempa","http://www.kenyans.co.ke/fidempa"
