"","datesong","mean_views","mean_score","min_views","max_views","mean_likes","min_likes","max_likes","vid_name","ytub_url","art_name","d_posted","cartist","colab"
"1","98_https://www.youtube.com/watch?v=OjclGogOWB8",1288.70072992701,0,1274,1299,17,17,17,"Siku Poa","https://www.youtube.com/watch?v=OjclGogOWB8","Masha  Ala-C",1396040400,"masha","no"
"2","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"sanaipei","yes"
"3","100_https://www.youtube.com/watch?v=TG6GNFDh4iU",74025.6350364963,3,73589,74451,0,0,0,"Change","https://www.youtube.com/watch?v=TG6GNFDh4iU","Sanaipei  Ala-C 
Alpha Msanii
Avril 
Jimw@t 
Jua Cali 
King Kaka
Marya",1361566800,"cali","yes"
"1023","1064_https://www.youtube.com/watch?v=RUYzYjsBMHg",129828.5,42.8823529411765,129404,130295,110.742647058824,108,114,"Msamaria Mwema","https://www.youtube.com/watch?v=RUYzYjsBMHg","Papa Dennis Daisy",1423947600,"daisy","yes"
"1024","1064_https://www.youtube.com/watch?v=RUYzYjsBMHg",129828.5,42.8823529411765,129404,130295,110.742647058824,108,114,"Msamaria Mwema","https://www.youtube.com/watch?v=RUYzYjsBMHg","Papa Dennis Daisy",1423947600,"papadennis","yes"
"1025","1066_https://www.youtube.com/watch?v=iE-fMydW32s",11118.0661764706,2,10785,11449,130.389705882353,127,134,"Nduru Remix","https://www.youtube.com/watch?v=iE-fMydW32s","Oksyde  Smallz  Lethal
Abbas 
Dan Dan",1414789200,"oksyde","yes"
"1026","1066_https://www.youtube.com/watch?v=iE-fMydW32s",11118.0661764706,2,10785,11449,130.389705882353,127,134,"Nduru Remix","https://www.youtube.com/watch?v=iE-fMydW32s","Oksyde  Smallz  Lethal
Abbas 
Dan Dan",1414789200,"smallz","yes"
"1027","1066_https://www.youtube.com/watch?v=iE-fMydW32s",11118.0661764706,2,10785,11449,130.389705882353,127,134,"Nduru Remix","https://www.youtube.com/watch?v=iE-fMydW32s","Oksyde  Smallz  Lethal
Abbas 
Dan Dan",1414789200,"dan","yes"
"1028","1071_https://www.youtube.com/watch?v=4QsVpYYxErE",223.806451612903,0,213,236,0,0,0,"Jina La Yesu","https://www.youtube.com/watch?v=4QsVpYYxErE","Dan Em",1436734800,"danem","no"
"1029","1072_https://www.youtube.com/watch?v=VCN8EysVI9c",401.623655913978,0,385,416,2,2,2,"Ainuliwe","https://www.youtube.com/watch?v=VCN8EysVI9c","Dan Em",1436734800,"danem","no"
"1030","1073_https://www.youtube.com/watch?v=15b8Vdjsx_E",378.014705882353,0,356,400,1.16911764705882,1,2,"Nimetendewa","https://www.youtube.com/watch?v=15b8Vdjsx_E","Loise Maingi Dan Em",1427317200,"loisemaingi","yes"
"1031","1073_https://www.youtube.com/watch?v=15b8Vdjsx_E",378.014705882353,0,356,400,1.16911764705882,1,2,"Nimetendewa","https://www.youtube.com/watch?v=15b8Vdjsx_E","Loise Maingi Dan Em",1427317200,"danem","yes"
"1032","1074_https://www.youtube.com/watch?v=mWxzRBf46js",508.654411764706,0,460,561,4.47794117647059,4,5,"Hakuna Silaha","https://www.youtube.com/watch?v=mWxzRBf46js","Loise Maingi Dan Em",1419800400,"loisemaingi","yes"
